"DateTime","Players","Average Players","Flags"
"2022-08-04 00:00:00",8904,,
"2022-08-05 00:00:00",9326,,
"2022-08-06 00:00:00",8953,,
"2022-08-07 00:00:00",9038,,
"2022-08-08 00:00:00",8357,,
"2022-08-09 00:00:00",8578,,
"2022-08-10 00:00:00",7846,,
"2022-08-11 00:00:00",8411,,
"2022-08-12 00:00:00",8236,,
"2022-08-13 00:00:00",8082,,
"2022-08-14 00:00:00",7888,,
"2022-08-15 00:00:00",7408,,
"2022-08-16 00:00:00",7183,,
"2022-08-17 00:00:00",7010,,
"2022-08-18 00:00:00",8167,,
"2022-08-19 00:00:00",8199,,
"2022-08-20 00:00:00",8252,,
"2022-08-21 00:00:00",8236,,
"2022-08-22 00:00:00",7392,,
"2022-08-23 00:00:00",7389,,
"2022-08-24 00:00:00",7004,,
"2022-08-25 00:00:00",7872,,
"2022-08-26 00:00:00",7856,,
"2022-08-27 00:00:00",8193,,
"2022-08-28 00:00:00",8486,,
"2022-08-29 00:00:00",7770,,
"2022-08-30 00:00:00",7702,,
"2022-08-31 00:00:00",7454,,
"2022-09-01 00:00:00",8097,,
"2022-09-02 00:00:00",8578,,
"2022-09-03 00:00:00",20256,,
"2022-09-04 00:00:00",26861,,
"2022-09-05 00:00:00",29905,,
"2022-09-06 00:00:00",31649,,
"2022-09-07 00:00:00",32479,,
"2022-09-08 00:00:00",33614,,
"2022-09-09 00:00:00",35051,,
"2022-09-10 00:00:00",35364,,
"2022-09-11 00:00:00",35457,,
"2022-09-12 00:00:00",33312,,
"2022-09-13 00:00:00",31380,,
"2022-09-14 00:00:00",27131,,
"2022-09-15 00:00:00",26462,,
"2022-09-16 00:00:00",26970,,
"2022-09-17 00:00:00",26143,,
"2022-09-18 00:00:00",22157,,
"2022-09-19 00:00:00",19718,,
"2022-09-20 00:00:00",18529,,
"2022-09-21 00:00:00",17008,,
"2022-09-22 00:00:00",17216,,
"2022-09-23 00:00:00",18924,9073,
"2022-09-24 00:00:00",19370,10505,
"2022-09-25 00:00:00",16782,9310,
"2022-09-26 00:00:00",14376,6588,
"2022-09-27 00:00:00",14343,6447,
"2022-09-28 00:00:00",13537,6204,
"2022-09-29 00:00:00",14828,6656,
"2022-09-30 00:00:00",16425,8310,
"2022-10-01 00:00:00",15690,9326,
"2022-10-02 00:00:00",15038,8577,
"2022-10-03 00:00:00",13397,7247,
"2022-10-04 00:00:00",12852,6753,
"2022-10-05 00:00:00",12378,6368,
"2022-10-06 00:00:00",12821,6578,
"2022-10-07 00:00:00",12777,7056,
"2022-10-08 00:00:00",13040,7064,
"2022-10-09 00:00:00",12154,6456,
"2022-10-10 00:00:00",10224,5048,
"2022-10-11 00:00:00",10113,4821,
"2022-10-12 00:00:00",10079,4860,
"2022-10-13 00:00:00",11715,5333,
"2022-10-14 00:00:00",18105,8788,
"2022-10-15 00:00:00",21982,12369,
"2022-10-16 00:00:00",22208,12362,
"2022-10-17 00:00:00",20615,9641,
"2022-10-18 00:00:00",20624,9696,
"2022-10-19 00:00:00",20286,9444,
"2022-10-20 00:00:00",20887,9796,
"2022-10-21 00:00:00",23396,11701,
"2022-10-22 00:00:00",23799,13674,
"2022-10-23 00:00:00",22443,12661,
"2022-10-24 00:00:00",19891,9500,
"2022-10-25 00:00:00",19409,9304,
"2022-10-26 00:00:00",19177,9217,
"2022-10-27 00:00:00",19260,9269,
"2022-10-28 00:00:00",20437,10184,
"2022-10-29 00:00:00",18247,10539,
"2022-10-30 00:00:00",15886,9070,
"2022-10-31 00:00:00",13047,6494,
"2022-11-01 00:00:00",12663,6165,
"2022-11-02 00:00:00",11810,5816,
"2022-11-03 00:00:00",12850,6161,
"2022-11-04 00:00:00",14160,7345,
"2022-11-05 00:00:00",14187,7987,
"2022-11-06 00:00:00",12552,7095,
"2022-11-07 00:00:00",10363,5067,
"2022-11-08 00:00:00",10271,4981,
"2022-11-09 00:00:00",10114,4978,
"2022-11-10 00:00:00",12262,5601,
"2022-11-11 00:00:00",13664,7136,
"2022-11-12 00:00:00",13412,7895,
"2022-11-13 00:00:00",12372,7211,
"2022-11-14 00:00:00",11993,5708,
"2022-11-15 00:00:00",11642,5754,
"2022-11-16 00:00:00",11084,5515,
"2022-11-17 00:00:00",11418,5566,
"2022-11-18 00:00:00",12488,6567,
"2022-11-19 00:00:00",12286,7220,
"2022-11-20 00:00:00",10961,6384,
"2022-11-21 00:00:00",8284,4560,
"2022-11-22 00:00:00",8823,4506,
"2022-11-23 00:00:00",8175,4512,
"2022-11-24 00:00:00",11380,6046,
"2022-11-25 00:00:00",14027,7870,
"2022-11-26 00:00:00",15726,9551,
"2022-11-27 00:00:00",15575,9095,
"2022-11-28 00:00:00",13903,7493,
"2022-11-29 00:00:00",14307,7553,
"2022-11-30 00:00:00",14124,7670,
"2022-12-01 00:00:00",13852,7249,
"2022-12-02 00:00:00",14556,7924,
"2022-12-03 00:00:00",14502,8458,
"2022-12-04 00:00:00",12936,7456,
"2022-12-05 00:00:00",10279,5690,
"2022-12-06 00:00:00",15970,7939,
"2022-12-07 00:00:00",11035,6067,
"2022-12-08 00:00:00",12774,6641,
"2022-12-09 00:00:00",13860,7747,
"2022-12-10 00:00:00",14507,8628,
"2022-12-11 00:00:00",14038,8348,
"2022-12-12 00:00:00",11649,6627,
"2022-12-13 00:00:00",11261,6403,
"2022-12-14 00:00:00",10203,5826,
"2022-12-15 00:00:00",10159,5841,
"2022-12-16 00:00:00",11285,6612,
"2022-12-17 00:00:00",11601,7092,
"2022-12-18 00:00:00",11101,6328,
"2022-12-19 00:00:00",8400,5033,
"2022-12-20 00:00:00",8286,5016,
"2022-12-21 00:00:00",8422,5026,
"2022-12-22 00:00:00",8504,5248,
"2022-12-23 00:00:00",10692,6356,
"2022-12-24 00:00:00",11896,7334,
"2022-12-25 00:00:00",12783,7747,
"2022-12-26 00:00:00",11563,7149,
"2022-12-27 00:00:00",11583,7111,
"2022-12-28 00:00:00",11690,7143,
"2022-12-29 00:00:00",11959,7512,
"2022-12-30 00:00:00",13350,8232,
"2022-12-31 00:00:00",13554,8495,
"2023-01-01 00:00:00",13191,8092,
"2023-01-02 00:00:00",11900,7534,
"2023-01-03 00:00:00",11655,6995,
"2023-01-04 00:00:00",11827,7009,
"2023-01-05 00:00:00",12680,7491,
"2023-01-06 00:00:00",13379,8009,
"2023-01-07 00:00:00",13231,8065,
"2023-01-08 00:00:00",12515,7402,
"2023-01-09 00:00:00",10021,5905,
"2023-01-10 00:00:00",9832,5690,
"2023-01-11 00:00:00",9452,5508,
"2023-01-12 00:00:00",9775,5701,
"2023-01-13 00:00:00",10420,6363,
"2023-01-14 00:00:00",11350,7010,
"2023-01-15 00:00:00",12740,7424,
"2023-01-16 00:00:00",11093,6699,
"2023-01-17 00:00:00",11399,6808,
"2023-01-18 00:00:00",11598,6939,
"2023-01-19 00:00:00",12219,7434,
"2023-01-20 00:00:00",12968,7970,
"2023-01-21 00:00:00",13128,8620,
"2023-01-22 00:00:00",13228,8242,
"2023-01-23 00:00:00",11525,7198,
"2023-01-24 00:00:00",11178,7091,
"2023-01-25 00:00:00",11268,6963,
"2023-01-26 00:00:00",11671,7216,
"2023-01-27 00:00:00",12405,7647,
"2023-01-28 00:00:00",13171,8066,
"2023-01-29 00:00:00",12652,7583,
"2023-01-30 00:00:00",10186,6024,
"2023-01-31 00:00:00",9781,5719,
"2023-02-01 00:00:00",9378,5451,
"2023-02-02 00:00:00",10138,5769,
"2023-02-03 00:00:00",10893,6318,
