DateTime,Players,Average Players,Flags,Final Price,Discount,,
2021-10-06 00:00:00,12506,,,59.99,0,,
2021-10-07 00:00:00,13609,,,59.99,0,,
2021-10-08 00:00:00,13339,,,59.99,0,,
2021-10-09 00:00:00,14430,,,59.99,0,,
2021-10-10 00:00:00,13447,,,59.99,0,,
2021-10-11 00:00:00,10873,,,59.99,0,,
2021-10-12 00:00:00,10744,,,59.99,0,,
2021-10-13 00:00:00,10720,,,59.99,0,,
2021-10-14 00:00:00,13102,,,59.99,0,,
2021-10-15 00:00:00,13373,,,59.99,0,,
2021-10-16 00:00:00,13821,,,59.99,0,,
2021-10-17 00:00:00,12937,,,59.99,0,,
2021-10-18 00:00:00,10621,,,59.99,0,,
2021-10-19 00:00:00,10558,,,59.99,0,,
2021-10-20 00:00:00,10306,,,59.99,0,,
2021-10-21 00:00:00,11949,,,59.99,0,,
2021-10-22 00:00:00,12437,,,59.99,0,,
2021-10-23 00:00:00,13178,,,59.99,0,,
2021-10-24 00:00:00,12739,,,59.99,0,,
2021-10-25 00:00:00,10380,,,59.99,0,,
2021-10-26 00:00:00,10136,,,59.99,0,,
2021-10-27 00:00:00,10141,,,59.99,0,,
2021-10-28 00:00:00,11864,,,59.99,0,,
2021-10-29 00:00:00,12211,,,59.99,0,,
2021-10-30 00:00:00,12102,,,59.99,0,,
2021-10-31 00:00:00,11368,,,59.99,0,,
2021-11-01 00:00:00,10114,,,59.99,0,,
2021-11-02 00:00:00,9686,,,59.99,0,,
2021-11-03 00:00:00,9568,,,59.99,0,,
2021-11-04 00:00:00,11229,,,59.99,0,,
2021-11-05 00:00:00,11394,,,59.99,0,,
2021-11-06 00:00:00,11410,,,59.99,0,,
2021-11-07 00:00:00,11968,,,59.99,0,,
2021-11-08 00:00:00,9552,,,59.99,0,,
2021-11-09 00:00:00,9204,,,59.99,0,,
2021-11-10 00:00:00,9353,,,59.99,0,,
2021-11-11 00:00:00,10656,,,59.99,0,,
2021-11-12 00:00:00,11530,,,59.99,0,,
2021-11-13 00:00:00,12168,,,59.99,0,,
2021-11-14 00:00:00,11419,,,59.99,0,,
2021-11-15 00:00:00,9296,,,59.99,0,,
2021-11-16 00:00:00,8946,,,59.99,0,,
2021-11-17 00:00:00,8600,,,59.99,0,,
2021-11-18 00:00:00,9365,,,59.99,0,,
2021-11-19 00:00:00,10217,,,59.99,0,,
2021-11-20 00:00:00,10701,,,59.99,0,,
2021-11-21 00:00:00,9659,,,59.99,0,,
2021-11-22 00:00:00,7367,,,59.99,0,,
2021-11-23 00:00:00,7284,,,59.99,0,,
2021-11-24 00:00:00,7096,,,19.79,67,,
2021-11-25 00:00:00,15799,,,19.79,67,,
2021-11-26 00:00:00,27170,,,19.79,67,,
2021-11-27 00:00:00,34867,,,19.79,67,,
2021-11-28 00:00:00,37757,,,19.79,67,,
2021-11-29 00:00:00,35640,,,19.79,67,,
2021-11-30 00:00:00,37305,,,19.79,67,,
2021-12-01 00:00:00,36130,,,59.99,0,,
2021-12-02 00:00:00,34320,,,59.99,0,,
2021-12-03 00:00:00,32573,,,59.99,0,,
2021-12-04 00:00:00,30626,,,59.99,0,,
2021-12-05 00:00:00,26077,,,59.99,0,,
2021-12-06 00:00:00,20026,,,59.99,0,,
2021-12-07 00:00:00,18271,,,59.99,0,,
2021-12-08 00:00:00,17133,,,59.99,0,,
2021-12-09 00:00:00,17663,,,59.99,0,,
2021-12-10 00:00:00,18989,,,59.99,0,,
2021-12-11 00:00:00,19223,,,59.99,0,,
2021-12-12 00:00:00,16723,,,59.99,0,,
2021-12-13 00:00:00,13556,,,59.99,0,,
2021-12-14 00:00:00,12843,,,59.99,0,,
2021-12-15 00:00:00,12061,,,59.99,0,,
2021-12-16 00:00:00,12680,,,59.99,0,,
2021-12-17 00:00:00,13343,,,59.99,0,,
2021-12-18 00:00:00,14333,,,59.99,0,,
2021-12-19 00:00:00,12801,,,59.99,0,,
2021-12-20 00:00:00,10424,,,59.99,0,,
2021-12-21 00:00:00,10330,,,59.99,0,,
2021-12-22 00:00:00,10449,,,19.79,67,,
2021-12-23 00:00:00,14201,,,19.79,67,,
2021-12-24 00:00:00,18282,,,19.79,67,,
2021-12-25 00:00:00,21241,,,19.79,67,,
2021-12-26 00:00:00,21807,,,19.79,67,,
2021-12-27 00:00:00,21058,,,19.79,67,,
2021-12-28 00:00:00,20790,,,19.79,67,,
2021-12-29 00:00:00,20856,,,19.79,67,,
2021-12-30 00:00:00,21724,,,19.79,67,,
2021-12-31 00:00:00,22339,,,19.79,67,,
2022-01-01 00:00:00,22120,,,19.79,67,,
2022-01-02 00:00:00,23079,,,19.79,67,,
2022-01-03 00:00:00,20608,,,19.79,67,,
2022-01-04 00:00:00,20809,,,19.79,67,,
2022-01-05 00:00:00,20683,,,59.99,0,,
2022-01-06 00:00:00,21701,,,59.99,0,,
2022-01-07 00:00:00,20988,,,59.99,0,,
2022-01-08 00:00:00,20334,,,59.99,0,,
2022-01-09 00:00:00,18710,,,59.99,0,,
2022-01-10 00:00:00,14470,,,59.99,0,,
2022-01-11 00:00:00,14400,,,59.99,0,,
2022-01-12 00:00:00,12943,,,59.99,0,,
2022-01-13 00:00:00,14042,,,59.99,0,,
2022-01-14 00:00:00,15143,,,59.99,0,,
2022-01-15 00:00:00,15968,,,59.99,0,,
2022-01-16 00:00:00,15252,,,59.99,0,,
2022-01-17 00:00:00,12359,,,59.99,0,,
2022-01-18 00:00:00,11910,,,59.99,0,,
2022-01-19 00:00:00,11960,,,59.99,0,,
2022-01-20 00:00:00,12724,,,59.99,0,,
2022-01-21 00:00:00,12841,,,59.99,0,,
2022-01-22 00:00:00,13648,,,59.99,0,,
2022-01-23 00:00:00,13494,,,59.99,0,,
2022-01-24 00:00:00,11308,,,59.99,0,,
2022-01-25 00:00:00,10778,,,59.99,0,,
2022-01-26 00:00:00,10897,,,59.99,0,,
2022-01-27 00:00:00,11629,,,19.79,67,,
2022-01-28 00:00:00,14475,,,19.79,67,,
2022-01-29 00:00:00,18035,,,19.79,67,,
2022-01-30 00:00:00,19843,,,19.79,67,,
2022-01-31 00:00:00,17569,,,19.79,67,,
2022-02-01 00:00:00,18255,,,19.79,67,,
2022-02-02 00:00:00,19417,,,19.79,67,,
2022-02-03 00:00:00,21335,,,59.99,0,,
2022-02-04 00:00:00,20534,,,59.99,0,,
2022-02-05 00:00:00,19766,,,59.99,0,,
2022-02-06 00:00:00,18327,,,59.99,0,,
2022-02-07 00:00:00,14609,,,59.99,0,,
2022-02-08 00:00:00,13926,,,59.99,0,,
2022-02-09 00:00:00,13008,,,59.99,0,,
2022-02-10 00:00:00,13145,,,59.99,0,,
2022-02-11 00:00:00,13637,,,59.99,0,,
2022-02-12 00:00:00,14182,,,59.99,0,,
2022-02-13 00:00:00,14064,,,59.99,0,,
2022-02-14 00:00:00,10900,,,59.99,0,,
2022-02-15 00:00:00,10863,,,59.99,0,,
2022-02-16 00:00:00,10182,,,59.99,0,,
